year,ngdp
1963,7684
1964,8187
1965,9050
1966,9623
1967,9762
1968,10195
1969,11218
1970,11829
1971,12955
1972,14220
1973,18723
1974,22858
1975,22332
1976,28085
1977,32340
1978,37886
1979,46424
1980,53308
1981,57613
1982,62599
1983,70444
1984,79550
1985,77470
1986,71594
1987,81085
1988,92370
1989,105233
1990,119081
1991,135124
1992,150682
1993,172194
1994,195461
1995,222473
1996,253732
1997,281795
1998,283243
1999,300764
2000,356401
2001,352579
2002,383213
2003,418769
2004,474048
2005,543578
2006,596784
2007,665340
2008,769949
2009,712857
2010,821434
2011,911733
2012,971252
2013,1018614
2014,1106443
2015,1176941
2016,1249698
2017,1372310
2018,1447451
2019,1510693
